,animal,color,shape,code,animal_attributes,color_attributes,shape_attributes,fact_times_flown_to_space,fact_believes_in_aliens,fact_number_of_legs,fact_can_swim,fact_favorite_food,fact_has_wings,fact_can_climb_trees
0,CAT,YELLOW,HEXAGON,CAT00-YELLO-HEXAG,"{'fur_length': 'short', 'eye_color': 'green', 'tail_length': 'medium', 'weight': 10, 'age': 2}","{'hue': 60, 'saturation': 100, 'lightness': 50, 'rgb': [255, 255, 0], 'hex': '#FFFF00'}","{'sides': 6, 'interior_angle': 120, 'exterior_angle': 60, 'area_formula': '3 * sqrt(3) * s^2 / 2', 'perimeter_formula': '6 * s'}",3,1,4,0,tuna,0,1
1,DOG,GREEN,CIRCLE,DOG00-GREEN-CIRCL,"{'fur_length': 'medium', 'eye_color': 'brown', 'tail_length': 'long', 'weight': 30, 'age': 4}","{'hue': 120, 'saturation': 100, 'lightness': 25, 'rgb': [0, 128, 0], 'hex': '#008000'}","{'sides': 1, 'interior_angle': 'N/A', 'exterior_angle': 'N/A', 'area_formula': 'pi * r^2', 'perimeter_formula': '2 * pi * r'}",0,0,4,1,bone,0,0
2,FISH,BLUE,SQUARE,FISH0-BLUE0-SQUAR,"{'scale_type': 'cycloid', 'eye_color': 'black', 'tail_shape': 'forked', 'weight': 1, 'age': 1}","{'hue': 240, 'saturation': 100, 'lightness': 50, 'rgb': [0, 0, 255], 'hex': '#0000FF'}","{'sides': 4, 'interior_angle': 90, 'exterior_angle': 90, 'area_formula': 's^2', 'perimeter_formula': '4 * s'}",0,0,0,1,algae,0,0
3,BIRD,RED,TRIANGLE,BIRD0-RED00-TRIAN,"{'feather_color': 'red', 'eye_color': 'yellow', 'beak_shape': 'pointed', 'weight': 0.5, 'age': 3}","{'hue': 0, 'saturation': 100, 'lightness': 50, 'rgb': [255, 0, 0], 'hex': '#FF0000'}","{'sides': 3, 'interior_angle': 60, 'exterior_angle': 120, 'area_formula': 'sqrt(3) * s^2 / 4', 'perimeter_formula': '3 * s'}",0,0,2,0,worm,1,0
4,SNAKE,PURPLE,OCTAGON,SNAKE-PURPL-OCTAG,"{'scale_type': 'keeled', 'eye_color': 'black', 'tail_shape': 'tapered', 'weight': 5, 'age': 6}","{'hue': 300, 'saturation': 100, 'lightness': 50, 'rgb': [255, 0, 255], 'hex': '#FF00FF'}","{'sides': 8, 'interior_angle': 135, 'exterior_angle': 45, 'area_formula': '2 * (1 + sqrt(2)) * s^2', 'perimeter_formula': '8 * s'}",0,0,0,1,mouse,0,1
5,HORSE,ORANGE,PENTAGON,HORSE-ORANG-PENTA,"{'fur_length': 'short', 'eye_color': 'brown', 'tail_length': 'long', 'weight': 1000, 'age': 8}","{'hue': 30, 'saturation': 100, 'lightness': 50, 'rgb': [255, 165, 0], 'hex': '#FFA500'}","{'sides': 5, 'interior_angle': 108, 'exterior_angle': 72, 'area_formula': '1/4 * sqrt(5 * (5 + 2 * sqrt(5))) * s^2', 'perimeter_formula': '5 * s'}",0,0,4,1,hay,0,0
6,COW,BROWN,RECTANGLE,COW00-BROWN-RECTA,"{'fur_length': 'short', 'eye_color': 'black', 'tail_length': 'medium', 'weight': 1500, 'age': 5}","{'hue': 30, 'saturation': 100, 'lightness': 20, 'rgb': [139, 69, 19], 'hex': '#8B4513'}","{'sides': 4, 'interior_angle': 90, 'exterior_angle': 90, 'area_formula': 'l * w', 'perimeter_formula': '2 * (l + w)'}",0,0,4,0,grass,0,0
7,SHEEP,WHITE,RHOMBUS,SHEEP-WHITE-RHOMB,"{'fur_length': 'long', 'eye_color': 'blue', 'tail_length': 'short', 'weight': 200, 'age': 3}","{'hue': 0, 'saturation': 0, 'lightness': 100, 'rgb': [255, 255, 255], 'hex': '#FFFFFF'}","{'sides': 4, 'interior_angle': 'variable', 'exterior_angle': 'variable', 'area_formula': 'd1 * d2 / 2', 'perimeter_formula': '4 * s'}",0,0,4,0,grass,0,0
8,PIG,PINK,PARALLELOGRAM,PIG00-PINK0-PARAL,"{'fur_length': 'short', 'eye_color': 'black', 'tail_length': 'curly', 'weight': 300, 'age': 2}","{'hue': 350, 'saturation': 100, 'lightness': 88, 'rgb': [255, 192, 203], 'hex': '#FFC0CB'}","{'sides': 4, 'interior_angle': 'variable', 'exterior_angle': 'variable', 'area_formula': 'b * h', 'perimeter_formula': '2 * (a + b)'}",0,0,4,1,corn,0,0
9,ELEPHANT,GRAY,TRAPEZOID,ELEPH-GRAY0-TRAPE,"{'fur_length': 'short', 'eye_color': 'brown', 'tail_length': 'long', 'weight': 6000, 'age': 50}","{'hue': 0, 'saturation': 0, 'lightness': 50, 'rgb': [128, 128, 128], 'hex': '#808080'}","{'sides': 4, 'interior_angle': 'variable', 'exterior_angle': 'variable', 'area_formula': '1/2 * (b1 + b2) * h', 'perimeter_formula': 'a + b1 + b2 + c'}",0,0,4,1,leaves,0,0
